name_of_insurer,claims_outstanding_at_the_beginning_of_the_quarter,claims_intimated_during_the_quarter,claims_intimated_and_revived_during_the_quarter,claims_revised_during_the_quarter,claims_revived_during_the_quarter,claims_paid_during_the_quarter,claims_rejected_and_closed_as_no_claims_during_the_quarter,claims_declined_during_the_quarter,claims_closed_as_no_claims_during_the_quarter,claims_outstanding_at_the_end_of_the_quarter,declined_claims_ratio_percent,claims_closed_as_no_claims_ratio_percent,claim_settlement_ratio_percent,quarter,year
The Monarch,71,NA,91,NA,NA,56,NA,NA,NA,106,NA,NA,34.6,Q2,2021
UAP Life,250,NA,1818,NA,NA,1835,NA,1,2,230,0,0.1,88.7,Q2,2021
Industry,30039,NA,91978,1091,NA,90304,NA,87,165,31690,0.07,0.13,73.9,Q2,2021
ABSA Life,379,NA,1878,20,NA,1774,NA,NA,NA,483,NA,NA,78.6,Q3,2021
APA Life,544,NA,2541,NA,NA,2523,NA,NA,21,541,NA,0.7,81.8,Q3,2021
Britam Life,3653,NA,24717,NA,NA,25403,NA,100,NA,2867,0.4,NA,89.5,Q3,2021
Capex Life,12,NA,863,NA,NA,861,NA,NA,NA,16,NA,NA,98.2,Q3,2021
CIC Life,2462,NA,2611,1565,NA,2288,NA,NA,NA,2785,NA,NA,45.1,Q3,2021
Corporate,623,NA,595,NA,NA,402,NA,NA,NA,816,NA,NA,33,Q3,2021
GA Life,3,NA,1012,NA,NA,1009,NA,NA,NA,6,NA,NA,99.4,Q3,2021
Geminia,143,NA,83,NA,NA,82,NA,NA,NA,144,NA,NA,36.3,Q3,2021
ICEA Life,2688,NA,19053,NA,NA,19062,NA,13,NA,2666,0.1,NA,87.7,Q3,2021
Jubilee,2484,NA,10883,73,NA,10950,NA,3,3,2411,0,0,81.9,Q3,2021
Kenindia,352,NA,1515,NA,NA,1446,NA,NA,NA,421,NA,NA,77.5,Q3,2021
Kenya Orient,24,NA,50,NA,NA,24,NA,13,NA,37,17.6,NA,32.4,Q3,2021
KUSCCO Mutual,411,NA,712,NA,NA,680,NA,NA,NA,443,NA,NA,60.6,Q3,2021
Liberty Life,1159,NA,1800,NA,NA,1645,NA,NA,NA,1314,NA,NA,55.6,Q3,2021
Madison,1708,NA,8374,NA,NA,8474,NA,NA,NA,1608,NA,NA,84.1,Q3,2021
Metropolitan Cannon,648,NA,292,NA,NA,272,NA,NA,NA,668,NA,NA,28.9,Q3,2021
Old Mutual,1661,NA,2340,NA,NA,2148,NA,2,19,1832,0,0.5,53.7,Q3,2021
Pioneer,9436,NA,5317,NA,NA,4766,NA,NA,NA,9987,NA,NA,32.3,Q3,2021
Prudential Life,716,NA,1302,NA,NA,1248,NA,NA,NA,770,NA,NA,61.8,Q3,2021
Saham,26,NA,36,NA,NA,35,NA,NA,NA,NA,NA,NA,100,Q3,2021
Sanlam Life,1829,NA,6150,NA,NA,5600,NA,28,30,2321,0.4,0.4,70.2,Q3,2021
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2021
The Kenyan Alliance,143,NA,1219,9,NA,1200,NA,1,NA,161,0.1,NA,88.1,Q3,2021
The Monarch,106,NA,115,NA,NA,146,NA,NA,NA,75,NA,NA,66.1,Q3,2021
UAP Life,230,NA,1793,NA,NA,1809,NA,NA,1,213,NA,0,89.4,Q3,2021
Industry,31440,NA,95251,1667,NA,93847,NA,160,74,32585,0.13,0.06,74.1,Q3,2021
ABSA Life,483,NA,1875,NA,NA,1786,NA,NA,NA,572,NA,NA,75.7,Q4,2021
APA Life,541,NA,2847,NA,NA,2756,NA,NA,16,616,NA,0.5,81.3,Q4,2021
Britam Life,2867,NA,24322,NA,NA,24312,NA,12,NA,2865,0,NA,89.4,Q4,2021
Capex Life,16,NA,894,NA,NA,823,NA,NA,NA,87,NA,NA,90.4,Q4,2021
CIC Life,2785,NA,2401,1946,NA,2006,NA,NA,NA,3181,NA,NA,38.7,Q4,2021
Corporate,816,NA,444,NA,NA,355,NA,NA,NA,905,NA,NA,28.2,Q4,2021
GA Life,6,NA,839,NA,NA,843,NA,NA,NA,2,NA,NA,99.8,Q4,2021
Geminia,144,NA,58,NA,NA,139,NA,NA,NA,63,NA,NA,68.8,Q4,2021
ICEA Life,2666,NA,19246,NA,NA,19755,NA,38,93,2026,0.2,0.4,90.2,Q4,2021
Jubilee,2411,NA,11209,63,NA,10983,NA,3,3,2631,0,0,80.6,Q4,2021
Kenindia,421,NA,1924,NA,NA,1992,NA,NA,NA,353,NA,NA,84.9,Q4,2021
Kenya Orient,37,NA,28,NA,NA,42,NA,NA,NA,23,NA,NA,64.6,Q4,2021
KUSCCO Mutual,443,NA,517,NA,NA,568,NA,NA,NA,392,NA,NA,59.2,Q4,2021
Liberty Life,1314,NA,1857,NA,NA,1320,NA,NA,NA,1851,NA,NA,41.6,Q4,2021
Madison,1608,NA,8478,NA,NA,8603,NA,NA,166,1317,NA,1.6,85.3,Q4,2021
Metropolitan Cannon,668,NA,222,NA,NA,241,NA,4,NA,645,0.4,NA,27.1,Q4,2021
Old Mutual,1832,NA,2305,NA,NA,2289,NA,1,14,1833,0,0.3,55.3,Q4,2021
Pioneer,9987,NA,4542,NA,NA,5880,NA,NA,NA,8649,NA,NA,40.5,Q4,2021
Prudential Life,770,NA,1415,NA,NA,1524,NA,NA,NA,661,NA,NA,69.7,Q4,2021
Saham,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4,2021
Sanlam Life,2321,NA,4662,NA,NA,4512,NA,39,68,2364,0.6,1,64.6,Q4,2021
Takaful Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4,2021
The Kenyan Alliance,161,NA,1141,6,NA,1144,NA,1,1,156,0.1,0.1,87.9,Q4,2021
The Monarch,75,NA,74,NA,NA,93,NA,NA,NA,56,NA,NA,62.4,Q4,2021
UAP Life,213,NA,1931,NA,NA,1911,NA,1,1,231,0,0,89.1,Q4,2021
Industry,32585,NA,93231,2015,NA,93877,NA,99,362,31479,0.08,0.29,74.6,Q4,2021
ABSA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2,Q2,2022
APA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.3,Q2,2022
Britam Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,Q2,2022
Capex Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.5,Q2,2022
CIC Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.2,Q2,2022
Corporate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,Q2,2022
Equity Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2022
GA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,Q2,2022
Geminia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,Q2,2022
ICEA Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8,Q2,2022
Jubilee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,Q2,2022
Kenindia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.8,Q2,2022
Kenya Orient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3,Q2,2022
KUSCCO Mutual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,Q2,2022
Liberty Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,Q2,2022
Madison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.6,Q2,2022
Metropolitan Cannon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,Q2,2022
Old Mutual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.6,Q2,2022
Old Mutual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2022
Pioneer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,Q2,2022
Prudential Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.8,Q2,2022
Sanlam Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,Q2,2022
Star Discovery Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2022
The Kenyan Alliance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.1,Q2,2022
The Monarch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1,Q2,2022
Industry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.7,Q2,2022
ABSA Life,572,NA,2498,3,NA,2335,NA,NA,92,610,NA,3,76.9,Q3,2022
APA Life,622,NA,1613,NA,NA,1467,NA,NA,39,729,NA,1.7,65.6,Q3,2022
Britam Life,3800,NA,26503,NA,NA,26527,NA,NA,NA,3776,NA,NA,87.5,Q3,2022
Capex Life,15,NA,1172,NA,NA,1166,NA,NA,NA,21,NA,NA,98.2,Q3,2022
CIC Life,2903,NA,1886,1734,NA,1629,NA,4,8,3148,0.1,0.2,34,Q3,2022
Corporate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2022
Equity Life,46,NA,70,NA,NA,77,NA,NA,NA,39,NA,NA,66.4,Q3,2022
GA Life,1,NA,1283,NA,NA,1282,NA,NA,NA,2,NA,NA,99.8,Q3,2022
Geminia,60,NA,266,1,NA,39,NA,NA,NA,287,NA,NA,12,Q3,2022
ICEA Life,2013,NA,21517,NA,NA,21024,NA,NA,NA,2506,NA,NA,89.3,Q3,2022
Jubilee,2930,NA,12091,129,NA,11783,NA,5,416,2817,0,2.8,78.4,Q3,2022
Kenindia,391,NA,2517,NA,NA,2501,NA,4,2,401,0.1,0.1,86,Q3,2022
Kenya Orient,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2022
KUSCCO Mutual,196,NA,1175,NA,NA,922,NA,NA,NA,449,NA,NA,67.3,Q3,2022
Liberty Life,3068,NA,2062,NA,NA,1407,NA,NA,NA,3723,NA,NA,27.4,Q3,2022
Madison,1491,NA,8651,NA,NA,8337,NA,NA,NA,1805,NA,NA,82.2,Q3,2022
Metropolitan Cannon,604,NA,176,NA,NA,199,NA,2,NA,579,0.3,NA,25.5,Q3,2022
Old Mutual,1763,NA,2348,1,NA,2418,NA,NA,3,1690,NA,0.1,58.8,Q3,2022
Old Mutual,273,NA,1884,NA,NA,1896,NA,NA,NA,261,NA,NA,87.9,Q3,2022
Pioneer,8229,NA,8576,NA,NA,6659,NA,NA,NA,10146,NA,NA,39.6,Q3,2022
Prudential Life,309,NA,4063,NA,NA,4059,NA,NA,NA,313,NA,NA,92.8,Q3,2022
Sanlam Life,2613,NA,4452,NA,NA,4280,NA,24,12,2749,0.3,0.2,60.6,Q3,2022
Star Discovery Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q3,2022
The Kenyan Alliance,117,NA,1245,3,NA,1248,NA,1,1,112,0.1,0.1,91.6,Q3,2022
The Monarch,41,NA,73,NA,NA,74,NA,NA,NA,40,NA,NA,64.9,Q3,2022
Industry,32057,NA,106121,1871,NA,101329,NA,40,573,36203,0.03,0.41,73.3,Q3,2022
ABSA Life,610,NA,1967,-2,NA,1887,NA,29,NA,661,1.1,NA,73.2,Q4,2022
APA Life,729,NA,1305,NA,NA,1223,NA,NA,42,769,NA,2.1,60.1,Q4,2022
Britam Life,3776,NA,27695,NA,NA,27158,NA,2,NA,4311,0,NA,86.3,Q4,2022
Capex Life,21,NA,1276,NA,NA,1283,NA,2,NA,12,0.2,NA,98.9,Q4,2022
CIC Life,3148,NA,1788,2624,NA,2713,NA,11,7,2205,0.2,0.1,55,Q4,2022
Corporate,404,NA,190,NA,NA,140,NA,NA,NA,454,NA,NA,23.6,Q4,2022
Equity Life,39,NA,84,NA,NA,91,NA,NA,NA,64,NA,NA,58.7,Q4,2022
GA Life,2,NA,1263,NA,NA,1263,NA,NA,NA,2,NA,NA,99.8,Q4,2022
Geminia,287,NA,521,NA,NA,315,NA,NA,NA,493,NA,NA,39,Q4,2022
ICEA Life,2506,NA,21044,NA,NA,20844,NA,NA,NA,2706,NA,NA,88.5,Q4,2022
Jubilee,2817,NA,11961,109,NA,11907,NA,18,18,2835,0.1,0.1,80.6,Q4,2022
Kenindia,401,NA,2502,3,NA,2520,NA,1,13,369,0,0.4,86.8,Q4,2022
Kenya Orient,44,NA,27,NA,NA,28,NA,NA,NA,43,NA,NA,39.4,Q4,2022
KUSCCO Mutual,449,NA,1179,NA,NA,874,NA,NA,NA,754,NA,NA,53.7,Q4,2022
Liberty Life,3723,NA,1619,NA,NA,1160,NA,NA,NA,4182,NA,NA,21.7,Q4,2022
Madison,1805,NA,8372,2,NA,8562,NA,NA,NA,1615,NA,NA,84.1,Q4,2022
Metropolitan Cannon,579,NA,184,NA,NA,147,NA,6,8,602,0.8,1,19.3,Q4,2022
Old Mutual,1690,NA,2234,NA,NA,2517,NA,NA,6,1401,NA,0.2,64.1,Q4,2022
Old Mutual,261,NA,1992,NA,NA,1967,NA,NA,NA,286,NA,NA,87.3,Q4,2022
Pioneer,10146,NA,5279,NA,NA,6963,NA,NA,NA,8462,NA,NA,45.1,Q4,2022
Prudential Life,313,NA,3307,NA,NA,3383,NA,NA,NA,237,NA,NA,93.5,Q4,2022
Sanlam Life,2749,NA,4174,NA,NA,4407,NA,104,73,2339,1.5,1.1,63.7,Q4,2022
Star Discovery Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q4,2022
The Kenyan Alliance,112,NA,1232,5,NA,1246,NA,NA,NA,98,NA,NA,92.7,Q4,2022
The Monarch,40,NA,76,NA,NA,80,NA,NA,NA,36,NA,NA,69,Q4,2022
Industry,36651,NA,101271,2741,NA,102678,NA,173,167,34936,0.13,0.12,74.4,Q4,2022
ABSA Life,661,NA,1848,41,NA,1750,NA,NA,34,725,NA,1.4,69.7,Q1,2023
APA Life,769,NA,1298,NA,NA,1278,NA,NA,30,759,NA,1.5,61.8,Q1,2023
Britam Life,4364,NA,30998,NA,NA,30967,NA,NA,NA,4395,NA,NA,87.6,Q1,2023
Cannon Life,602,NA,122,NA,NA,163,NA,NA,556,5,NA,76.8,22.5,Q1,2023
Capex Life,12,NA,1462,NA,NA,1457,NA,NA,NA,17,NA,NA,98.8,Q1,2023
CIC Life,2205,NA,1569,2018,NA,2195,NA,25,NA,1554,0.7,NA,58.2,Q1,2023
Corporate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q1,2023
Equity Life,64,NA,147,NA,NA,100,NA,NA,3,108,NA,1.4,47.4,Q1,2023
GA Life,2,NA,742,NA,NA,743,NA,NA,NA,1,NA,NA,99.9,Q1,2023
Geminia,493,NA,199,NA,NA,165,NA,NA,NA,527,NA,NA,23.8,Q1,2023
ICEA Life,2706,NA,21800,NA,NA,21874,NA,4,21,2607,0,0.1,89.3,Q1,2023
Jubilee,2835,NA,11506,319,NA,11438,NA,NA,7,2896,NA,0,79.8,Q1,2023
Kenindia,369,NA,2560,NA,NA,2472,NA,NA,11,446,NA,0.4,84.4,Q1,2023
Kenya Orient,43,NA,10,NA,NA,36,NA,NA,NA,17,NA,NA,67.9,Q1,2023
KUSCCO Mutual,754,NA,1005,NA,NA,1200,NA,3,NA,556,0.2,NA,68.2,Q1,2023
Liberty Life,4182,NA,1660,NA,NA,1026,NA,NA,NA,4816,NA,NA,17.6,Q1,2023
Madison,1615,NA,8359,NA,NA,8626,NA,NA,NA,1348,NA,NA,86.5,Q1,2023
Old Mutual,1401,NA,1710,NA,NA,1731,NA,NA,24,1356,NA,0.8,55.6,Q1,2023
Old Mutual,286,NA,2444,1,NA,2446,NA,NA,NA,284,NA,NA,89.6,Q1,2023
Pioneer,8462,NA,5532,NA,NA,5622,NA,NA,NA,8372,NA,NA,40.2,Q1,2023
Prudential Life,237,NA,2683,NA,NA,2719,NA,NA,NA,201,NA,NA,93.1,Q1,2023
Sanlam Life,2339,NA,4279,NA,NA,3849,NA,17,70,2682,0.3,1.1,58.2,Q1,2023
Star Discovery Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q1,2023
The Kenyan Alliance,98,NA,774123,3,NA,774075,NA,52,NA,94,0,NA,100,Q1,2023
The Monarch,36,NA,49,NA,NA,48,NA,NA,NA,37,NA,NA,56.5,Q1,2023
Industry,34535,NA,876105,2382,NA,875980,NA,101,756,33803,0.01,0.08,96.2,Q1,2023
ABSA Life,725,NA,2004,NA,NA,1887,NA,NA,68,774,NA,2.5,69.1,Q2,2023
APA Life,759,NA,1473,NA,NA,1191,NA,NA,97,944,NA,4.3,53.4,Q2,2023
Britam Life,4395,NA,30413,NA,NA,29897,NA,NA,NA,4911,NA,NA,85.9,Q2,2023
Cannon Life,5,NA,330,NA,NA,307,NA,3,21,4,0.9,6.3,91.6,Q2,2023
Capex Life,17,NA,1550,NA,NA,1554,NA,NA,NA,13,NA,NA,99.2,Q2,2023
CIC Life,1554,NA,1793,1368,NA,1788,NA,20,NA,1539,0.6,NA,53.4,Q2,2023
Corporate,468,NA,334,NA,NA,175,NA,5,1,621,0.6,0.1,21.8,Q2,2023
Equity Life,108,NA,171,NA,NA,107,NA,120,3,49,43,1.1,38.4,Q2,2023
GA Life,1,NA,6880,NA,NA,6879,NA,NA,NA,2,NA,NA,100,Q2,2023
Geminia,527,NA,29,NA,NA,49,NA,NA,NA,507,NA,NA,8.8,Q2,2023
ICEA Life,2607,NA,22543,NA,NA,22595,NA,NA,5,2550,NA,0,89.8,Q2,2023
Jubilee,2896,NA,12994,210,NA,13494,NA,10,190,2196,0.1,1.2,84.9,Q2,2023
Kenindia,446,NA,2502,NA,NA,2460,NA,5,39,444,0.2,1.3,83.4,Q2,2023
Kenya Orient,17,NA,13,NA,NA,9,NA,NA,NA,21,NA,NA,30,Q2,2023
KUSCCO Mutual,556,NA,750,NA,NA,472,NA,1,NA,833,0.1,NA,36.1,Q2,2023
Liberty Life,4816,NA,1652,NA,NA,1451,NA,NA,NA,5017,NA,NA,22.4,Q2,2023
Madison,1348,NA,8429,NA,NA,8293,NA,NA,NA,1484,NA,NA,84.8,Q2,2023
Old Mutual,1356,NA,1283,1,NA,1296,NA,NA,60,1283,NA,2.3,49.1,Q2,2023
Old Mutual,284,NA,2311,NA,NA,2270,NA,NA,NA,325,NA,NA,87.5,Q2,2023
Pioneer,8372,NA,4936,NA,NA,5024,NA,2,NA,8283,0,NA,37.7,Q2,2023
Prudential Life,201,NA,2018,NA,NA,2027,NA,NA,NA,192,NA,NA,91.3,Q2,2023
Sanlam Life,2682,NA,3934,NA,NA,3761,NA,15,210,2630,0.2,3.2,56.8,Q2,2023
Star Discovery Life,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Q2,2023
The Kenyan Alliance,94,NA,1373,6,NA,1376,NA,NA,NA,91,NA,NA,93.8,Q2,2023
The Monarch,37,NA,69,NA,NA,66,NA,NA,NA,40,NA,NA,62.3,Q2,2023
Industry,34271,NA,109784,1585,NA,108428,NA,181,694,34753,0.13,0.48,75.3,Q2,2023
ABSA Life,774,NA,2356,43,NA,2322,NA,3,27,778,0.1,0.9,74.2,Q3,2023
APA Life,944,NA,1326,NA,NA,1181,NA,1,60,1028,0,2.6,52,Q3,2023
Britam Life,4911,NA,32782,NA,NA,32497,NA,9,41,5146,0,0.1,86.2,Q3,2023
Cannon Life,4,NA,618,7,NA,340,NA,2,12,268,0.3,1.9,54.7,Q3,2023
Capex Life,13,NA,1701,NA,NA,1685,NA,2,NA,27,0.1,NA,98.3,Q3,2023
CIC Life,1539,NA,2724,2297,NA,2653,NA,18,NA,1592,0.4,NA,62.2,Q3,2023
Corporate,621,NA,626,18,NA,183,NA,9,8,1047,0.7,0.6,14.7,Q3,2023
Equity Life,49,NA,182,NA,NA,125,NA,39,1,66,16.9,0.4,54.1,Q3,2023
GA Life,2,NA,1423,NA,NA,1424,NA,NA,NA,1,NA,NA,99.9,Q3,2023
Geminia,507,NA,46,NA,NA,45,NA,NA,NA,508,NA,NA,8.1,Q3,2023
ICEA Life,2550,NA,31973,NA,NA,31707,NA,3,191,2622,0,0.6,91.8,Q3,2023
Jubilee,2196,NA,13074,42,NA,13102,NA,35,8,2125,0.2,0.1,85.8,Q3,2023
Kenindia,444,NA,2555,NA,NA,2582,NA,2,11,404,0.1,0.4,86.1,Q3,2023
Kenya Orient,21,NA,31,NA,NA,20,NA,NA,NA,32,NA,NA,38.5,Q3,2023
KUSCCO Mutual,833,NA,843,NA,NA,677,NA,1,NA,998,0.1,NA,40.4,Q3,2023
Liberty Life,5017,NA,1735,NA,NA,1706,NA,NA,NA,5046,NA,NA,25.3,Q3,2023
Madison,1484,NA,8730,NA,NA,8517,NA,NA,122,1575,NA,1.2,83.4,Q3,2023
Old Mutual,1283,NA,1520,1,NA,1580,NA,1,100,1122,0,3.6,56.4,Q3,2023
Old Mutual,325,NA,2980,NA,NA,3006,NA,1,NA,298,0,NA,91,Q3,2023
Pioneer,8283,NA,5400,NA,NA,5283,NA,NA,NA,8400,NA,NA,38.6,Q3,2023
Prudential Life,192,NA,1989,NA,NA,1985,NA,NA,NA,196,NA,NA,91,Q3,2023
Sanlam Life,2630,NA,4107,NA,NA,4013,NA,18,33,2673,0.3,0.5,59.6,Q3,2023
Star Discovery Life,146,NA,1498,NA,NA,1548,NA,NA,NA,96,NA,NA,94.2,Q3,2023
The Kenyan Alliance,91,NA,1338,NA,NA,1340,NA,NA,NA,89,NA,NA,93.8,Q3,2023
The Monarch,40,NA,134,NA,NA,61,NA,2,NA,111,1.1,NA,35.1,Q3,2023
Industry,34899,NA,121691,2408,NA,119582,NA,146,614,36248,0.09,0.39,76.4,Q3,2023
